,戳る(秅),糹基,禦芥舦,秨絃基,程蔼基,程基,程Θユ基,挡衡基,害禴基,害禴%,*絃ユ琿Θユ秖,*ユ琿Θユ秖,*璸Θユ秖,*ゼ≧綪秖,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基
TXO,202002,9700,Call,-,-,-,-,1680,-,-,0,0,0,0,1590,1830,-,-
TXO,202002,9700,Put,1.6,10,1.6,8.7,8.7,《+7.2,《+480.00%,0,1421,1421,1484,9,10,19,1.5
TXO,202002,9800,Call,-,-,-,-,1580,-,-,0,0,0,0,1490,1730,-,-
TXO,202002,9800,Put,3.1,10.5,3.1,10.5,10.5,《+8.8,《+517.65%,0,298,298,350,10,10.5,17.5,1.7
TXO,202002,9900,Call,-,-,-,-,1480,-,-,0,0,0,0,1390,1630,-,-
TXO,202002,9900,Put,3,12,3,11.5,11.5,《+9.7,《+538.89%,0,226,226,209,11.5,12,21,1.8
TXO,202002,10000,Call,1520,1520,1520,1520,1380,】-590,】-27.96%,0,2,2,13,1300,1530,2150,1520
TXO,202002,10000,Put,3.4,14.5,3.1,13,13,《+11.1,《+584.21%,4,1538,1542,1476,12,13.5,31,1.5
TXO,202002,10100,Call,-,-,-,-,1290,-,-,0,0,0,0,1200,1440,-,-
TXO,202002,10100,Put,5,15,4,15,15,《+12.8,《+581.82%,0,844,844,601,15,16,24.5,2.2
TXO,202002,10200,Call,-,-,-,-,1190,-,-,0,0,0,0,1100,1340,-,-
TXO,202002,10200,Put,3.9,19,3.9,19,19,《+16.7,《+726.09%,0,917,917,945,19,20,64,2.2
TXO,202002,10300,Call,-,-,-,-,1090,-,-,0,0,0,0,995,1230,-,-
TXO,202002,10300,Put,8,21.5,4.3,21.5,21.5,《+18.9,《+726.92%,11,1541,1552,1125,22,24,36,2.6
TXO,202002,10400,Call,1120,1120,1000,1010,995,】-700,】-40.94%,0,64,64,48,910,1150,1120,1000
TXO,202002,10400,Put,6,25.5,5.3,25.5,25.5,《+22.6,《+779.31%,6,2998,3004,2396,25,26,45,2.7
TXO,202002,10500,Call,955,955,955,955,905,】-655,】-40.68%,0,1,1,1,815,1050,955,955
TXO,202002,10500,Put,7.1,31.5,6.2,31.5,31.5,《+28.5,《+950.00%,19,2217,2236,1895,31.5,44,60,3
TXO,202002,10600,Call,960,960,830,830,810,】-680,】-45.03%,0,111,111,20,725,955,1520,830
TXO,202002,10600,Put,6.9,38,5.5,38,38,《+34.2,《+900.00%,39,2776,2815,1865,37.5,40.5,80,3.7
TXO,202002,10700,Call,750,750,750,750,720,】-660,】-46.81%,0,1,1,5,620,855,1390,750
TXO,202002,10700,Put,11,47,9,47,47,《+42.8,"《+1,019.05%",22,4578,4600,2272,46.5,49,150,3.5
TXO,202002,10800,Call,815,845,640,645,630,】-675,】-51.14%,0,151,151,17,540,775,1330,640
TXO,202002,10800,Put,10,59,10,58,58,《+53,"《+1,060.00%",94,5868,5962,2669,58,59,110,4.7
TXO,202002,10900,Call,890,905,575,575,545,】-645,】-52.87%,0,9,9,10,449,680,1250,575
TXO,202002,10900,Put,9.5,74,9.5,72,72,《+66.1,"《+1,120.34%",82,5966,6048,2594,72,74,116,5.7
TXO,202002,11000,Call,625,665,474,475,462,】-645,】-57.59%,0,180,180,146,455,465,1150,474
TXO,202002,11000,Put,23,91,17,90,90,《+82.4,"《+1,084.21%",48,12201,12249,5219,89,91,163,7
TXO,202002,11100,Call,525,525,390,390,384,】-630,】-61.76%,0,188,188,122,377,387,1020,390
TXO,202002,11100,Put,25.5,113,21,112,112,《+103.4,"《+1,202.33%",86,8188,8274,5704,112,113,160,8.3
TXO,202002,11200,Call,615,615,310,310,310,】-610,】-66.30%,0,414,414,435,310,314,980,310
TXO,202002,11200,Put,30,142,28,142,142,《+131,"《+1,190.91%",177,14622,14799,10148,140,145,200,10.5
TXO,202002,11300,Call,483,494,245,245,245,】-585,】-70.48%,0,565,565,276,242,248,815,245
TXO,202002,11300,Put,43,176,37,176,176,《+161,"《+1,073.33%",332,19220,19552,9265,173,176,232,13.5
TXO,202002,11400,Call,401,401,186,186,186,】-549,】-74.69%,0,1912,1912,1186,181,189,785,186
TXO,202002,11400,Put,54,219,50,216,216,《+196.5,"《+1,007.69%",258,18851,19109,12752,216,220,269,17.5
TXO,202002,11500,Call,355,359,137,137,137,】-498,】-78.43%,0,4694,4694,2617,137,138,690,137
TXO,202002,11500,Put,85,268,66,265,265,《+238.5,《+900.00%,346,19597,19943,12163,264,268,324,23.5
TXO,202002,11600,Call,290,290,95,97,97,】-448,】-82.20%,5,7539,7544,2690,94,97,595,95
TXO,202002,11600,Put,101,325,88,325,325,《+289,《+802.78%,806,21127,21933,10920,325,380,357,31
TXO,202002,11700,Call,207,213,63,65,65,】-389,】-85.68%,22,10438,10460,4453,64,68,550,63
TXO,202002,11700,Put,130,397,117,388,388,《+340,《+708.33%,837,16522,17359,9127,386,400,430,41
TXO,202002,11800,Call,154,154,40,40,40,】-337,】-89.39%,57,15232,15289,7091,40,40.5,461,40
TXO,202002,11800,Put,150,470,150,465,465,《+399,《+604.55%,971,16165,17136,8069,465,472,470,55
TXO,202002,11900,Call,105,107,24,25.5,25.5,】-272.5,】-91.44%,30,19562,19592,8512,24.5,25.5,394,24
TXO,202002,11900,Put,195,560,195,560,560,《+473,《+543.68%,604,5931,6535,6025,500,570,560,73
TXO,202002,12000,Call,70,70,15,15,15,】-211,】-93.36%,125,16568,16693,10606,15,15.5,329,15
TXO,202002,12000,Put,286,640,268,640,640,《+523,《+447.01%,519,6200,6719,6542,640,650,645,97
TXO,202002,12100,Call,52,52,9.8,10.5,10.5,】-154.5,】-93.64%,403,15569,15972,7900,10,10.5,341,9.8
TXO,202002,12100,Put,378,740,320,740,740,《+584,《+374.36%,300,2236,2536,5071,715,815,740,130
TXO,202002,12200,Call,30,30,6.4,6.5,6.5,】-108.5,】-94.35%,619,11312,11931,11184,6.5,7.1,218,6.4
TXO,202002,12200,Put,447,835,420,825,835,《+624,《+310.45%,147,619,766,1144,815,835,835,173
TXO,202002,12300,Call,16,16,4.6,5.1,5.1,】-67.9,】-93.01%,725,9020,9745,12608,4.6,4.9,171,4.6
TXO,202002,12300,Put,545,920,515,920,930,《+657,《+249.81%,33,148,181,607,915,1010,920,226
TXO,202002,12400,Call,10,10,3.7,4.6,4.6,】-39.4,】-89.55%,1036,6979,8015,10505,4.6,4.7,132,3.7
TXO,202002,12400,Put,620,1020,620,1020,1030,《+687,《+206.31%,35,50,85,263,875,1040,1020,295
TXO,202002,12500,Call,7.8,7.8,2.2,3.8,3.8,】-20.2,】-84.17%,569,8837,9406,9757,3.2,3.8,97,2.2
TXO,202002,12500,Put,745,1110,710,1110,1130,《+697,《+168.77%,23,32,55,101,990,1220,1110,370
TXO,202002,12600,Call,3,5.9,2.2,3.3,3.3,】-9.2,】-73.60%,468,5144,5612,12612,2.6,3.1,70,2.2
TXO,202002,12600,Put,810,1160,810,1160,1230,《+660,《+132.00%,0,14,14,84,1090,1320,1160,469
TXO,202002,12700,Call,2,2.6,1.3,2.3,2.3,】-3.8,】-62.30%,104,2716,2820,3243,1.8,2.3,50,1.3
